image,label
mix1/train/0_001.jpg,0
mix1/train/0_001f1.jpg,0
mix1/train/0_001f2.jpg,0
mix1/train/0_001f3.jpg,0
mix1/train/0_001f4.jpg,0
mix1/train/0_001f5.jpg,0
mix1/train/0_002.jpg,0
mix1/train/0_002f1.jpg,0
mix1/train/0_002f2.jpg,0
mix1/train/0_002f3.jpg,0
mix1/train/0_002f4.jpg,0
mix1/train/0_002f5.jpg,0
mix1/train/0_003.jpg,0
mix1/train/0_003f1.jpg,0
mix1/train/0_003f2.jpg,0
mix1/train/0_003f3.jpg,0
mix1/train/0_003f4.jpg,0
mix1/train/0_003f5.jpg,0
mix1/train/0_004.jpg,0
mix1/train/0_004f1.jpg,0
mix1/train/0_004f2.jpg,0
mix1/train/0_004f3.jpg,0
mix1/train/0_004f4.jpg,0
mix1/train/0_004f5.jpg,0
mix1/train/0_005.jpg,0
mix1/train/0_005f1.jpg,0
mix1/train/0_005f2.jpg,0
mix1/train/0_005f3.jpg,0
mix1/train/0_005f4.jpg,0
mix1/train/0_005f5.jpg,0
mix1/train/0_006.jpg,0
mix1/train/0_006f1.jpg,0
mix1/train/0_006f2.jpg,0
mix1/train/0_006f3.jpg,0
mix1/train/0_006f4.jpg,0
mix1/train/0_006f5.jpg,0
mix1/train/0_007.jpg,0
mix1/train/0_007f1.jpg,0
mix1/train/0_007f2.jpg,0
mix1/train/0_007f3.jpg,0
mix1/train/0_007f4.jpg,0
mix1/train/0_007f5.jpg,0
mix1/train/0_008.jpg,0
mix1/train/0_008f1.jpg,0
mix1/train/0_008f2.jpg,0
mix1/train/0_008f3.jpg,0
mix1/train/0_008f4.jpg,0
mix1/train/0_008f5.jpg,0
mix1/train/0_009.jpg,0
mix1/train/0_009f1.jpg,0
mix1/train/0_009f2.jpg,0
mix1/train/0_009f3.jpg,0
mix1/train/0_009f4.jpg,0
mix1/train/0_009f5.jpg,0
mix1/train/0_010.jpg,0
mix1/train/0_010f1.jpg,0
mix1/train/0_010f2.jpg,0
mix1/train/0_010f3.jpg,0
mix1/train/0_010f4.jpg,0
mix1/train/0_010f5.jpg,0
mix1/train/0_011.jpg,0
mix1/train/0_011f1.jpg,0
mix1/train/0_011f2.jpg,0
mix1/train/0_011f3.jpg,0
mix1/train/0_011f4.jpg,0
mix1/train/0_011f5.jpg,0
mix1/train/0_012.jpg,0
mix1/train/0_012f1.jpg,0
mix1/train/0_012f2.jpg,0
mix1/train/0_012f3.jpg,0
mix1/train/0_012f4.jpg,0
mix1/train/0_012f5.jpg,0
mix1/train/0_013.jpg,0
mix1/train/0_013f1.jpg,0
mix1/train/0_013f2.jpg,0
mix1/train/0_013f3.jpg,0
mix1/train/0_013f4.jpg,0
mix1/train/0_013f5.jpg,0
mix1/train/0_014.jpg,0
mix1/train/0_014f1.jpg,0
mix1/train/0_014f2.jpg,0
mix1/train/0_014f3.jpg,0
mix1/train/0_014f4.jpg,0
mix1/train/0_014f5.jpg,0
mix1/train/0_015.jpg,0
mix1/train/0_015f1.jpg,0
mix1/train/0_015f2.jpg,0
mix1/train/0_015f3.jpg,0
mix1/train/0_015f4.jpg,0
mix1/train/0_015f5.jpg,0
mix1/train/0_016.jpg,0
mix1/train/0_016f1.jpg,0
mix1/train/0_016f2.jpg,0
mix1/train/0_016f3.jpg,0
mix1/train/0_016f4.jpg,0
mix1/train/0_016f5.jpg,0
mix1/train/0_017.jpg,0
mix1/train/0_017f1.jpg,0
mix1/train/0_017f2.jpg,0
mix1/train/0_017f3.jpg,0
mix1/train/0_017f4.jpg,0
mix1/train/0_017f5.jpg,0
mix1/train/0_018.jpg,0
mix1/train/0_018f1.jpg,0
mix1/train/0_018f2.jpg,0
mix1/train/0_018f3.jpg,0
mix1/train/0_018f4.jpg,0
mix1/train/0_018f5.jpg,0
mix1/train/0_019.jpg,0
mix1/train/0_019f1.jpg,0
mix1/train/0_019f2.jpg,0
mix1/train/0_019f3.jpg,0
mix1/train/0_019f4.jpg,0
mix1/train/0_019f5.jpg,0
mix1/train/0_020.jpg,0
mix1/train/0_020f1.jpg,0
mix1/train/0_020f2.jpg,0
mix1/train/0_020f3.jpg,0
mix1/train/0_020f4.jpg,0
mix1/train/0_020f5.jpg,0
mix1/train/0_021.jpg,0
mix1/train/0_021f1.jpg,0
mix1/train/0_021f2.jpg,0
mix1/train/0_021f3.jpg,0
mix1/train/0_021f4.jpg,0
mix1/train/0_021f5.jpg,0
mix1/train/0_022.jpg,0
mix1/train/0_022f1.jpg,0
mix1/train/0_022f2.jpg,0
mix1/train/0_022f3.jpg,0
mix1/train/0_022f4.jpg,0
mix1/train/0_022f5.jpg,0
mix1/train/0_023.jpg,0
mix1/train/0_023f1.jpg,0
mix1/train/0_023f2.jpg,0
mix1/train/0_023f3.jpg,0
mix1/train/0_023f4.jpg,0
mix1/train/0_023f5.jpg,0
mix1/train/0_024.jpg,0
mix1/train/0_024f1.jpg,0
mix1/train/0_024f2.jpg,0
mix1/train/0_024f3.jpg,0
mix1/train/0_024f4.jpg,0
mix1/train/0_024f5.jpg,0
mix1/train/0_025.jpg,0
mix1/train/0_025f1.jpg,0
mix1/train/0_025f2.jpg,0
mix1/train/0_025f3.jpg,0
mix1/train/0_025f4.jpg,0
mix1/train/0_025f5.jpg,0
mix1/train/0_026.jpg,0
mix1/train/0_026f1.jpg,0
mix1/train/0_026f2.jpg,0
mix1/train/0_026f3.jpg,0
mix1/train/0_026f4.jpg,0
mix1/train/0_026f5.jpg,0
mix1/train/0_027.jpg,0
mix1/train/0_027f1.jpg,0
mix1/train/0_027f2.jpg,0
mix1/train/0_027f3.jpg,0
mix1/train/0_027f4.jpg,0
mix1/train/0_027f5.jpg,0
mix1/train/0_028.jpg,0
mix1/train/0_028f1.jpg,0
mix1/train/0_028f2.jpg,0
mix1/train/0_028f3.jpg,0
mix1/train/0_028f4.jpg,0
mix1/train/0_028f5.jpg,0
mix1/train/0_029.jpg,0
mix1/train/0_029f1.jpg,0
mix1/train/0_029f2.jpg,0
mix1/train/0_029f3.jpg,0
mix1/train/0_029f4.jpg,0
mix1/train/0_029f5.jpg,0
mix1/train/0_030.jpg,0
mix1/train/0_030f1.jpg,0
